It's nothing	87	0
I'd be glad to	104	0
Sort of	19	0
Ha ha ha	34	0
Well?	10	0
Rly?	95	1
Do you need anything else?	169	0
Yeah, a little bit	190	0
Oh, that's right	33	0
OK, Mr	65	0
You never know	49	0
What did she say?	43	0
Yeah, I get that	31	0
It was horrible	82	0
Everything!	191	0
About a week	176	0
I'm glad you think so	104	0
Oh, sorry to hear that	80	0
Yeah, what about it?	78	0
Thanks, bye	4	0
Yes, you are	51	0
Oh, that's good	30	0
Thanks for the kind words	4	0
Very much so	19	0
No problem. Good luck!	12	0
I'll do that	146	0
Of course, what's up?	85	0
Thanks, me too	75	0
Easier said than done	24	0
No, you're not	109	0
I know, and I'm really sorry	21	0
Very well, thank you	67	0
No, really	192	0
Yes, I would	113	0
That's good news	80	0
It's possible	32	0
You won't regret it	49	0
Yeah, it's a lot of fun	157	0
Okay, let's take a look	131	0
That's fair	28	0
That is very true	27	0
Maybe not	115	0
Yeah, I think I will	113	0
Well, that depends	94	0
That sounds like a great job	52	0
Wow, congratulations!	44	0
Where do you work?	122	0
Don't say that!	70	0
Hold on	72	0
On my way	163	0
Let's go	163	0
Good, thanks	67	0
That's the point	55	0
Of course, sir	65	1
C'mon	72	0
Would you like something to drink?	193	0
Don't ask me	9	0
How are you doing?	139	0
Yeah, it really is	71	0
No, I can't	118	0
Nooo...	145	1
Oh lol!	48	0
I'll try my best	146	0
But what?	78	0
That sounds very difficult	94	0
-_-	26	0
Hehe	34	0
I know exactly what you mean	8	0
It did	132	0
Glad to hear it!	75	0
Indeed it is	36	0
Hi how are you doing?	139	0
I'd like that	52	0
Well, okay	37	0
Haha, thanks	4	0
Weird	80	0
I guess not	115	0
Are you crazy?	102	0
You should! It's really good	57	0
That's a lot!	2	0
Maybe so	32	0
Ok, I get it	194	0
Yes, here it is	107	0
Yo!	34	0
It's too late	21	0
Oh, thanks	59	0
Sure, why not?	18	0
Yes, speaking	0	0
Thank you. Goodbye	4	0
That's easy	28	0
Yes, I know that	31	0
Not very well	76	0
I love to read	75	0
Nonsense!	112	0
What seems to be the problem?	85	0
No, you can't	118	0
That's rough	94	0
What about me?	140	0
Sure I am	51	0
Well, sir	79	1
I will, don't worry	195	0
Not anymore	54	0
I don't get it	158	0
Oh, that's not good	108	0
Finally!	34	0
Let's do it!	146	0
How nice!	11	0
What makes you say that?	29	0
What else?	78	0
Thank you for coming	163	0
How much does it cost?	121	0
That sounds relaxing	94	0
Of course it is!	196	0
Aw	34	0
Yeah, really	197	0
That's a great choice!	63	0
Kind of	19	0
I told you	26	0
Thanks! I'm glad you like it	104	0
I'm sorry, Mom	21	1
Perfect, thanks!	67	0
That's a great goal!	2	0
Who knows?	198	0
Unfortunately, yes	145	0
Something like that	52	0
You're telling me!	112	0
Yes, we did	64	0
Is there anything else?	85	0
I love pizza	167	0
Hi! What's up?	85	0
OK, goodbye	1	0
Of course I did!	64	0
I'm sure it will	132	0
Yeah, I can tell	31	0
That sounds boring	94	0
I do not	90	0
You	151	1
Same old, same old	3	0
Well, congratulations!	44	0
More or less	171	0
What was that?	43	0
How can I help you?	173	0
Do you need any help?	169	0
Fingers crossed!	63	0
Mom!	34	1
I think you're right	47	0
Not a problem	12	0
That's frustrating	80	0
Sounds amazing!	20	0
Yeah, okay	1	0
Oh, yes, of course	145	0
That was nice of you	123	0
Hum	26	1
Enjoy!	44	0
We do!	60	0
I like those too!	106	0
Relax	26	0
Fine, whatever	37	0
Sir?	199	1
That makes a lot of sense	55	0
Who are you?	140	0
Me too! It's so good	3	0
Heh	59	1
Again, I'm sorry	21	0
That sounds fair	94	0
Thank you for saying that	4	0
Yeah, I bet	71	0
Good morning, Mr	84	0
That's really good!	2	0
Yes, absolutely	0	0
In two weeks	176	0
What size do you wear?	122	0
Who knows	134	0
Thank you. I appreciate it	68	0
Well, you definitely succeeded	4	0
What a great idea!	63	0
Really? What happened?	10	0
Not quite	39	0
Hello there!	41	0
Now	26	0
Sounds nice	20	0
I'm an accountant	174	0
I'll do my best	146	0
Oh, that sounds nice	20	0
So did I	77	0
It better not	49	0
Brilliant!	11	0
How about tomorrow afternoon?	103	0
No need	162	0
I know it is	36	0
So, what do you do?	122	0
Great, see you then!	74	0
You might be right	47	0
I can do that	146	0
And then?	10	0
It's a great job	68	0
It really was	82	0
Easy	26	0
That's beautiful	2	0
Oh I bet	32	0
Yes, it did	156	0
What a shame!	80	0
Ok. See you tomorrow	133	0
I'm great!	62	0
Again?!	34	0
We will	57	0
Oh, gosh	59	0
What kind of job is it?	122	0
God	26	0
What's your favorite video game?	150	0
I guess that makes sense	55	0
I miss you too	117	0
Yes and no	5	0
Here is the money	61	0
Okay, Mom	1	1
Good to know	55	0
How about you?	140	0
How time flies!	112	0
Like?	81	1
Poor you!	112	0
Yes, very	0	0
I'm ready	163	0
No problem, have a great day!	12	0
Not so good	76	0
Come on, it'll be fun!	35	0
Yeah, for sure	71	0
Poor thing	26	0
I can't do that	118	0
This is so unfair!	112	0
I love video games!	167	0
How fun!	35	0
Sir	79	1
I'm on it!	136	0
Well, no	100	0
Are you all right?	177	0
👍	180	0
😂	180	0
❤️	180	0
🙏	180	0
😊	180	0
🎉	180	0
👌	180	0
😍	180	0
😢	180	0
🔥	180	0
Ok 👍	1	0
Okay	1	0
Sure!	7	0
Yes!	0	0
Maybe later	172	0
Absolutely!	13	0
Sounds good!	20	0
Sounds like a plan	52	0
Works for me	200	0
Haha, so funny	34	0
On my way!	163	0
Almost there	98	0
Be right there	163	0
Coming!	163	0
I'm here	163	0
Just reached	163	0
I'll be there soon	163	0
Running late, sorry	200	0
Give me 5 minutes	200	0
I'm outside	163	0
See you there!	74	0
See you tomorrow!	74	0
See you then	74	0
Talk to you later	74	0
Talk soon	74	0
Call you later	74	0
Can't talk right now	87	0
Call me	74	0
I'll call you	74	0
I'll let you know	146	0
I'll check	15	0
Will do	57	0
On it	72	0
Got it, thanks!	67	0
Noted	11	0
Okay, thanks!	53	0
Thanks!	44	0
Thank you!	44	0
Thanks a lot!	44	0
You're welcome!	23	0
Anytime!	23	0
Happy to help	23	0
Sorry!	11	0
So sorry	21	0
Oh no, are you okay?	148	0
Take care	62	0
Get well soon!	62	0
Feel better soon	62	0
Hope you feel better	62	0
Take rest	62	0
Congrats! 🎉	44	0
Great job!	44	0
So proud of you!	123	0
So happy for you!	123	0
Happy birthday!	44	0
Happy birthday! 🎂	44	0
Happy anniversary!	44	0
Happy new year!	75	0
Merry Christmas!	75	0
Happy Diwali!	75	0
Eid Mubarak!	34	0
Happy holidays!	75	0
Same to you!	75	0
Good morning!	84	0
Good night!	84	0
Sweet dreams	11	0
Sleep well	62	0
I'm good, you?	139	0
I'm fine, thanks	42	0
Doing well, thanks!	62	0
Miss you!	117	0
Miss you too	117	0
Good idea!	63	0
Count me in	136	0
Sorry, I can't make it	201	0
Sorry, I'm busy	200	0
Can't today	118	0
Maybe next time	172	0
Some other time	172	0
Tell me more	15	0
Any update?	202	0
Let me think about it	146	0
Drive safe!	63	0
Safe travels!	188	0
All the best!	44	0
You got this!	101	0
No rush	201	0
Take your time	200	0
Welcome back!	44	0
Glad you made it	104	0
Glad to hear that	68	0
That's awesome!	2	0
Looks great!	44	0
Love it!	106	0
Beautiful!	44	0
So cute!	44	0
Delicious!	11	0
